,samba-australian,random_scm-australian,scm-australian,decision_tree-australian,random_forest-australian,adaboost-australian
Train,0.8916827852998066,0.8704061895551257,0.8665377176015474,0.8936170212765957,0.9400386847195358,1.0
Test,0.8208092485549133,0.8323699421965318,0.8323699421965318,0.838150289017341,0.8497109826589595,0.8554913294797688
