,samba-australian,random_scm-australian,scm-australian,decision_tree-australian,random_forest-australian,adaboost-australian
Train,0.8920769580366612,0.8776624753825177,0.8737464020602939,0.8977048931980003,0.938221481593698,1.0
Test,0.8231195887445888,0.8438176406926408,0.8438176406926408,0.849025974025974,0.8530167748917749,0.8556547619047619
