,scm-yeast_data,decision_tree-yeast_data,random_scm-yeast_data,random_forest-yeast_data,adaboost-yeast_data,samba-yeast_data
Train,0.6487648700912709,1.0,0.6682361306536444,0.8209061632342871,0.7453988307085726,1.0
Test,0.624763353617309,0.62920892494929,0.6369168356997972,0.6625760649087221,0.665314401622718,0.6731406355645706
