,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,samba-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.5588499550763701,0.5813117699910153,1.0,1.0,0.8014375561545372,0.8652291105121294
Test,0.5390835579514824,0.5525606469002695,0.6711590296495957,0.7412398921832885,0.7466307277628033,0.7493261455525606
