,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,adaboost-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6466666666666667,1.0,0.7151851851851851,0.8461111111111111,0.8172222222222222,1.0
Test,0.5283783783783784,0.6232432432432433,0.6762162162162162,0.7002702702702703,0.7237837837837837,0.7337837837837837
