,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,adaboost-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6162790697674418,1.0,0.7441860465116279,0.8527131782945736,0.8372093023255814,1.0
Test,0.4942528735632184,0.6436781609195402,0.7126436781609196,0.7241379310344828,0.7471264367816092,0.7586206896551724
