,random_scm-yeast_data,scm-yeast_data,samba-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data
Train,0.5336927223719676,0.5336927223719676,0.5265049415992812,0.7529200359389039,0.867026055705301,0.8769092542677448
Test,0.5040431266846361,0.5040431266846361,0.5121293800539084,0.7142857142857143,0.7385444743935309,0.7520215633423181
