,random_scm-yeast_data,scm-yeast_data,samba-yeast_data,random_forest-yeast_data,adaboost-yeast_data,decision_tree-yeast_data
Train,0.6494044439093761,0.6494044439093761,0.6520643185529078,0.8301799835968127,0.8458570665382503,0.7093626082572742
Test,0.6157200811359027,0.6157200811359027,0.631000676132522,0.6457403651115619,0.6617816091954023,0.6652805949966193
