,samba-metabolomics_bleuets,random_forest-metabolomics_bleuets,decision_tree-metabolomics_bleuets,random_scm-metabolomics_bleuets,scm-metabolomics_bleuets,adaboost-metabolomics_bleuets
Train,1.0,1.0,1.0,0.9861111111111112,0.9444444444444444,1.0
Test,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.9166666666666666
