,random_forest-metabolomics_bleuets,samba-metabolomics_bleuets,scm-metabolomics_bleuets,decision_tree-metabolomics_bleuets,random_scm-metabolomics_bleuets,adaboost-metabolomics_bleuets
Train,1.0,1.0,0.8888888888888888,1.0,0.9907407407407407,1.0
Test,0.6666666666666666,0.7222222222222222,0.75,0.8055555555555556,0.8055555555555556,0.8333333333333333
