,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.908745247148289,1.0,0.908745247148289,0.935361216730038,0.9847908745247148
Test,0.9090909090909091,0.9090909090909091,0.9204545454545454,0.9204545454545454,0.9318181818181818,0.9545454545454546
