,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.895946116077049,1.0,0.9053883922951026,0.930819589575727,0.9787234042553192
Test,0.8883928571428572,0.8950892857142857,0.8973214285714286,0.9107142857142857,0.9263392857142857,0.9375
