,hps,fit,pred
decision_tree-methyl,10.498731933999807,0.05930925800203113,0.0012544609999167733
adaboost-methyl,399.127651392002,32.56192271300097,0.16137410800001817
samba-methyl,295.3498263309957,14.823520347003068,0.17604378199757775
random_forest-methyl,46.68841982300364,3.7311266329998034,0.03212255999824265
random_scm-methyl,241.45984072299325,1.9124286229998688,0.03041991500504082
scm-methyl,4.3925442270046915,0.2326502809955855,0.0004536279957392253
decision_tree-rna_iso,8.877702842997678,0.8699836730011157,0.0012639310007216409
adaboost-rna_iso,318.46198364099837,19.316944525999133,0.09228992399584968
samba-rna_iso,378.7261138009999,20.94693182499759,0.2150762509991182
random_forest-rna_iso,63.11044775000482,0.8356940070007113,0.00952164499904029
random_scm-rna_iso,162.0065877349989,3.227495449995331,0.06244650800363161
scm-rna_iso,5.334339027998794,0.15665603999514133,0.00044486400292953476
decision_tree-rna,11.89268449300289,0.7930766499994206,0.0012340460016275756
adaboost-rna,183.12780963599653,31.70855526700325,0.162856072995055
samba-rna,370.8582311029968,21.958334965995164,0.20703076599602355
random_forest-rna,39.78086457099562,4.974219592993904,0.04265461099566892
random_scm-rna,177.86603565899713,21.672123575001024,0.10207146899483632
scm-rna,5.303425983001944,0.19743613799801096,0.0004583229965646751
decision_tree-mirna,2.509299976998591,0.17088882900134195,0.00031298300018534064
adaboost-mirna,75.36956429899874,4.838871613996162,0.04925175000244053
samba-mirna,105.32686865400319,4.016779712997959,0.07814443800452864
random_forest-mirna,20.85893533300259,0.9667084950051503,0.01653408900165232
random_scm-mirna,28.838064440999005,3.3156668259980506,0.041244795997045
scm-mirna,1.0495625580006163,0.041259206998802256,0.00016679399413987994
decision_tree-clinic,0.407755387997895,0.0023078910016920418,0.00022033799905329943
adaboost-clinic,5.162553922004008,0.30289414699655026,0.031026671000290662
samba-clinic,53.194955138002115,0.12105928300297819,0.07093782699666917
random_forest-clinic,7.968341127998428,0.1707093060031184,0.013205450995883439
random_scm-clinic,9.536801004003792,0.017641436999838334,0.0020369519988889806
scm-clinic,0.4719315969996387,0.0037479090024135076,0.0001647829994908534
