,decision_tree-cylinder_data,random_scm-cylinder_data,samba-cylinder_data,scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,1.0,0.7975308641975308,0.8320987654320988,0.7728395061728395,1.0,0.9901234567901234
Test,0.7037037037037037,0.7111111111111111,0.7259259259259261,0.7333333333333333,0.8296296296296296,0.837037037037037
