,random_scm-cylinder_data,samba-cylinder_data,decision_tree-cylinder_data,scm-cylinder_data,adaboost-cylinder_data,random_forest-cylinder_data
Train,0.777552856500225,0.8106162843004948,1.0,0.7491003148897886,1.0,0.9883040935672515
Test,0.6862348178137652,0.696693657219973,0.6987179487179487,0.7031039136302295,0.8147773279352226,0.8164642375168691
