,decision_tree-pima,scm-pima,adaboost-pima,samba-pima,random_scm-pima,random_forest-pima
Train,0.8679124378109453,0.7261850746268657,0.8738805970149255,0.7737094527363183,0.7450825870646767,0.9160199004975123
Train STD,0.1316718108090664,0.015614632911831884,0.07602756662135253,0.077000942050127,0.015437923530500787,0.042417827120473026
Test,0.6628776119402986,0.7083582089552238,0.7102925373134329,0.7123044776119404,0.7137731343283581,0.7173671641791045
Test STD,0.046813773336758444,0.028004073153123935,0.03786011654814316,0.02996548039984796,0.025889420589555682,0.028509878150383253
