,random_scm-pima,decision_tree-pima,scm-pima,adaboost-pima,samba-pima,random_forest-pima
Train,0.7364583333333333,0.8899305555555557,0.7423611111111111,0.8918402777777776,0.8092013888888889,0.9333333333333333
Train STD,0.022832336420518885,0.10922664100364103,0.017657197409848772,0.06587643814170321,0.0652623079334891,0.034715277083194405
Test,0.7026041666666667,0.7093749999999999,0.7239583333333334,0.7427083333333333,0.7588541666666666,0.7609375
Test STD,0.03520540545025246,0.04280983872507188,0.028811076429040277,0.03849941377620071,0.023644915547533688,0.024699803544540374
