,random_scm-pima,decision_tree-pima,scm-pima,adaboost-pima,samba-pima,random_forest-pima
Train,0.7364583333333334,0.8899305555555557,0.7423611111111111,0.8918402777777776,0.8092013888888889,0.9333333333333333
Train STD,0.02283233642051889,0.10922664100364103,0.01765719740984877,0.06587643814170321,0.0652623079334891,0.034715277083194405
Test,0.7026041666666667,0.7093749999999999,0.7239583333333333,0.7427083333333332,0.7588541666666666,0.7609375
Test STD,0.03520540545025246,0.042809838725071866,0.028811076429040256,0.03849941377620072,0.0236449155475337,0.024699803544540388
