,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,random_forest-bupa_data,adaboost-bupa_data,samba-bupa_data
Train,0.6434108527131783,1.0,0.7170542635658915,0.9883720930232558,0.8410852713178295,0.8372093023255814
Test,0.5287356321839081,0.6091954022988506,0.6436781609195402,0.6896551724137931,0.7011494252873564,0.7241379310344829
