,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,random_forest-bupa_data,adaboost-bupa_data,samba-bupa_data
Train,0.6725925925925926,1.0,0.697037037037037,0.9861111111111112,0.8309259259259258,0.8185185185185185
Test,0.5654054054054054,0.6037837837837838,0.6232432432432433,0.6667567567567567,0.6872972972972973,0.7037837837837837
