,scm-bupa_data,decision_tree-bupa_data,adaboost-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6627906976744186,1.0,0.9961240310077519,0.6589147286821705,0.8255813953488372,0.9844961240310077
Test,0.5172413793103449,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.7126436781609196,0.781609195402299
