,scm-bupa_data,adaboost-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6801851851851852,0.9966666666666666,1.0,0.6807407407407406,0.8085185185185185,0.9827777777777778
Test,0.5343243243243243,0.6367567567567567,0.6508108108108108,0.6648648648648648,0.6867567567567567,0.7643243243243243
