,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,adaboost-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6468992248062017,0.9426356589147288,0.6887596899224808,0.8941860465116278,0.8430232558139534,0.9810077519379845
Train STD,0.0340313609135672,0.10659689894293803,0.05153872922900049,0.07294754876691535,0.058532265291576145,0.029439509072493385
Test,0.5517241379310345,0.6,0.6103448275862069,0.6712643678160919,0.7,0.7034482758620692
Test STD,0.04930485192994763,0.0536179484583476,0.07439366034613515,0.05015499822821019,0.03503390954972001,0.03975084245009333
