,scm-bupa_data,decision_tree-bupa_data,random_scm-bupa_data,adaboost-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6567962962962963,0.9417222222222221,0.6885185185185185,0.8860555555555555,0.8257222222222221,0.9780925925925927
Train STD,0.017595526071217886,0.10871477797082392,0.03342282226280382,0.07943568327759117,0.06481171685718029,0.03447470295786353
Test,0.556945945945946,0.5884054054054054,0.6033783783783784,0.6511081081081083,0.6743513513513514,0.6822702702702702
Test STD,0.037532172709725135,0.05712064174761702,0.06243491863541552,0.05338538441876962,0.04033741002081974,0.04002559444121389
