,random_scm-cylinder_data,scm-cylinder_data,decision_tree-cylinder_data,random_forest-cylinder_data,samba-cylinder_data,adaboost-cylinder_data
Train,0.72638326585695,0.7577597840755735,1.0,0.9941520467836258,0.7839631129104814,1.0
Test,0.664642375168691,0.6879217273954116,0.6916329284750338,0.7047908232118758,0.7054655870445343,0.7955465587044535
