,random_scm-cylinder_data,decision_tree-cylinder_data,scm-cylinder_data,samba-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.745679012345679,1.0,0.7728395061728395,0.8049382716049382,0.9950617283950617,1.0
Test,0.6888888888888889,0.7037037037037037,0.7185185185185186,0.7333333333333333,0.7407407407407407,0.8074074074074074
