,random_scm-ionosphere_data,adaboost-ionosphere_data,decision_tree-ionosphere_data,random_forest-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data
Train,0.9420558982752109,1.0,1.0,0.9627659574468085,0.9313861261488103,0.91725418607579
Test,0.8683035714285714,0.8705357142857143,0.8861607142857143,0.8928571428571428,0.8995535714285714,0.90625
