,adaboost-ionosphere_data,random_scm-ionosphere_data,decision_tree-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data,scm-ionosphere_data
Train,1.0,0.9331801586302404,1.0,0.9012967392672793,1.0,0.92430441898527
Test,0.8705357142857143,0.8839285714285714,0.8861607142857143,0.890625,0.8928571428571428,0.8995535714285714
