,adaboost-ionosphere_data,random_scm-ionosphere_data,decision_tree-ionosphere_data,random_forest-ionosphere_data,scm-ionosphere_data,samba-ionosphere_data
Train,1.0,0.935361216730038,1.0,1.0,0.9239543726235742,0.9277566539923955
Test,0.8863636363636365,0.8863636363636365,0.8977272727272727,0.8977272727272727,0.8977272727272727,0.9204545454545455
