,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,1.0,0.9695817490494297,1.0,0.908745247148289,0.9619771863117871,0.9505703422053232
Test,0.8295454545454547,0.875,0.8863636363636365,0.8977272727272727,0.9090909090909091,0.9318181818181818
