,decision_tree-ionosphere_data,adaboost-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data
Train,1.0,1.0,0.9763313609467456,0.9468085106382979,0.9053883922951026,0.9426539091023542
Test,0.8125,0.8504464285714286,0.8683035714285714,0.875,0.8861607142857143,0.9129464285714286
