,random_scm-Abalone_data,scm-Abalone_data,decision_tree-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.75937805832844,0.758962125660599,0.8563099432374242,0.7763358778625954,0.8180955177138383,0.8666544333529067
Test,0.7352749410265051,0.738060614496491,0.7655675374719784,0.7657158869467113,0.7972154254150122,0.8010706802830727
