,decision_tree-australian,scm-australian,samba-australian,random_scm-australian,adaboost-australian,random_forest-australian
Train,0.8471953578336557,0.8529980657640233,0.9941972920696325,0.8510638297872339,0.9187620889748549,0.9825918762088974
Test,0.8786127167630058,0.8786127167630058,0.884393063583815,0.884393063583815,0.8959537572254335,0.8959537572254335
