,samba-australian,decision_tree-australian,scm-australian,random_scm-australian,adaboost-australian,random_forest-australian
Train,0.9934782608695651,0.8541660354491745,0.8615512801090743,0.858513861536131,0.919921224056961,0.9812982881381609
Test,0.8842667748917749,0.8854843073593073,0.8867694805194806,0.8919778138528138,0.8946834415584415,0.8946834415584415
