,scm-hepatitis_data,random_scm-hepatitis_data,decision_tree-hepatitis_data,random_forest-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data
Train,0.7586206896551724,0.7758620689655173,1.0,0.9741379310344828,0.896551724137931,0.8448275862068967
Test,0.46153846153846156,0.48717948717948717,0.5128205128205128,0.5128205128205128,0.5384615384615384,0.5897435897435898
