,scm-hepatitis_data,random_scm-hepatitis_data,random_forest-hepatitis_data,decision_tree-hepatitis_data,adaboost-hepatitis_data,samba-hepatitis_data
Train,0.7469951923076923,0.7680288461538461,0.9711538461538461,1.0,0.8900240384615384,0.8305288461538461
Test,0.4603174603174603,0.4880952380952381,0.5079365079365079,0.5158730158730158,0.5396825396825398,0.5873015873015873
