,decision_tree-australian,random_scm-australian,scm-australian,random_forest-australian,samba-australian,adaboost-australian
Train,0.8588007736943907,0.8626692456479691,0.8626692456479691,0.9168278529980658,0.874274661508704,1.0
Test,0.8439306358381503,0.8439306358381503,0.8439306358381503,0.8497109826589595,0.8554913294797687,0.8670520231213873
