,decision_tree-australian,random_scm-australian,scm-australian,random_forest-australian,samba-australian,adaboost-australian
Train,0.8659142554158461,0.8706938342675352,0.8702620815028026,0.916452052719285,0.8763975155279503,1.0
Test,0.8503787878787878,0.8503787878787878,0.8503787878787878,0.8517316017316017,0.8582251082251082,0.8647862554112553
