,scm-bupa_data,decision_tree-bupa_data,adaboost-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6666666666666666,0.813953488372093,0.9147286821705426,0.751937984496124,0.7868217054263565,0.9883720930232558
Test,0.5632183908045977,0.5747126436781609,0.6206896551724138,0.6206896551724138,0.6436781609195402,0.6896551724137931
