,scm-bupa_data,decision_tree-bupa_data,adaboost-bupa_data,random_scm-bupa_data,samba-bupa_data,random_forest-bupa_data
Train,0.6744444444444444,0.8140740740740741,0.9124074074074073,0.7412962962962963,0.7661111111111111,0.9861111111111112
Test,0.5427027027027027,0.5562162162162163,0.5891891891891892,0.5891891891891892,0.6056756756756757,0.6597297297297298
