,scm-ionosphere_data,decision_tree-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,samba-ionosphere_data,random_forest-ionosphere_data
Train,0.9148621427672163,0.9970414201183432,1.0,0.9532922069746947,0.9225733350119603,0.9734042553191489
Test,0.859375,0.8638392857142857,0.8794642857142857,0.8839285714285714,0.8973214285714286,0.9107142857142857
