,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,random_scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.973384030418251,0.9315589353612167,0.9505703422053232,1.0,0.973384030418251
Test,0.8409090909090909,0.8522727272727273,0.875,0.8863636363636364,0.8977272727272727,0.9204545454545454
