,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9792899408284024,1.0,0.9426539091023542,0.9302215787485837,0.9627659574468085
Test,0.8080357142857143,0.8370535714285714,0.859375,0.8638392857142857,0.8683035714285714,0.890625
