,scm-yeast_data,adaboost-yeast_data,random_forest-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,samba-yeast_data
Train,0.6442934966629296,0.8687274738339064,0.8743068148471418,0.6489492178388425,0.961550326935087,0.9985590778097982
Test,0.6290398918187965,0.6366801893171061,0.639841108857336,0.6443373901284652,0.6452839756592292,0.6848884381338742
