,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,random_forest-yeast_data,samba-yeast_data
Train,0.5309973045822103,0.5471698113207547,0.9622641509433962,0.8930817610062893,0.9083557951482479,0.9991015274034142
Test,0.5094339622641509,0.5336927223719676,0.6900269541778976,0.7008086253369272,0.7277628032345014,0.7412398921832885
