,random_scm-pima,decision_tree-pima,random_forest-pima,scm-pima,adaboost-pima,samba-pima
Train,0.7065972222222222,1.0,0.9253472222222222,0.7326388888888888,0.8819444444444444,0.7916666666666666
Test,0.671875,0.7291666666666665,0.734375,0.75,0.7552083333333334,0.7916666666666666
