,random_forest-pima,decision_tree-pima,adaboost-pima,random_scm-pima,scm-pima,samba-pima
Train,0.9138109452736318,1.0,0.8631641791044776,0.7561990049751244,0.7265671641791045,0.7592039800995025
Test,0.6955820895522388,0.7123582089552238,0.715044776119403,0.7168358208955223,0.7422089552238806,0.7499701492537314
