,decision_tree-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.8959775903311091,0.9219438499307566,0.9107075412312728,1.0,0.9787234042553192
Test,0.8883928571428572,0.890625,0.9486607142857143,0.9486607142857143,0.96875,0.96875
