,decision_tree-ionosphere_data,samba-ionosphere_data,random_scm-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_forest-ionosphere_data
Train,1.0,0.9239543726235742,0.9239543726235742,0.9125475285171103,1.0,0.9847908745247148
Test,0.9090909090909091,0.9204545454545454,0.9431818181818182,0.9431818181818182,0.9772727272727273,0.9772727272727273
