,random_scm-Abalone_data,decision_tree-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7585887611749681,0.8382822477650063,0.7604086845466157,0.8245530012771392,0.8225095785440611,0.8735632183908045
Train STD,0.003006876383445612,0.07295811428916574,0.003135500305795911,0.08720874385118832,0.01879524707990606,0.018651808155317456
Test,0.7539712918660288,0.7554066985645933,0.7563636363636363,0.774066985645933,0.7922488038277511,0.8
Test STD,0.01117980237054258,0.0191540608661387,0.011484848374107109,0.009123085841313003,0.008281244836868852,0.00819844975716895
