,random_scm-Abalone_data,decision_tree-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7585887611749681,0.8382822477650063,0.7604086845466156,0.8245530012771394,0.8225095785440614,0.8735632183908045
Train STD,0.0030068763834455435,0.07295811428916572,0.0031355003057959093,0.08720874385118833,0.018795247079906048,0.01865180815531744
Test,0.7539712918660288,0.7554066985645933,0.7563636363636363,0.774066985645933,0.7922488038277511,0.7999999999999999
Test STD,0.011179802370542545,0.01915406086613866,0.01148484837410717,0.009123085841312993,0.008281244836868871,0.008198449757168947
