,random_scm-Abalone_data,decision_tree-Abalone_data,scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7585229496966138,0.8384698571148952,0.7602752495596008,0.824636670581327,0.8225636132315521,0.873680514777843
Train STD,0.002954839427203186,0.07283369726099508,0.003126735070927135,0.08716373198778206,0.018822809874114478,0.018640000335394313
Test,0.7539195396404448,0.7555420433400243,0.756259432096233,0.7741593529765132,0.7922748384639052,0.8000824163748517
Test STD,0.011069952567225172,0.019185923155051084,0.011438313687573655,0.009106208529480677,0.008293300813544508,0.008180296643270244
