,scm-yeast_data,random_scm-yeast_data,random_forest-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,samba-yeast_data
Train,0.6312875749618136,0.6324576188290533,0.8367073987404158,1.0,0.8270761694795374,1.0
Test,0.6435429344151454,0.6513860716700474,0.6688640973630832,0.6789891818796484,0.6915652467883705,0.7068458417849899
