,scm-yeast_data,random_scm-yeast_data,decision_tree-yeast_data,adaboost-yeast_data,samba-yeast_data,random_forest-yeast_data
Train,0.5022461814914645,0.504941599281222,1.0,0.8661275831087152,1.0,0.8858939802336029
Test,0.522911051212938,0.5336927223719676,0.7169811320754716,0.7601078167115903,0.7681940700808625,0.77088948787062
