,scm-bupa_data,adaboost-bupa_data,random_scm-bupa_data,samba-bupa_data,decision_tree-bupa_data,random_forest-bupa_data
Train,0.6201550387596899,0.8527131782945736,0.7015503875968992,1.0,1.0,0.8953488372093024
Test,0.5977011494252874,0.6551724137931034,0.6781609195402298,0.6896551724137931,0.7011494252873564,0.7241379310344828
