,adaboost-bupa_data,scm-bupa_data,samba-bupa_data,random_scm-bupa_data,decision_tree-bupa_data,random_forest-bupa_data
Train,0.837037037037037,0.6474074074074074,1.0,0.7122222222222222,1.0,0.8775925925925926
Test,0.6297297297297297,0.6324324324324324,0.6456756756756756,0.6813513513513514,0.6943243243243243,0.6967567567567567
