,decision_tree-ionosphere_data,samba-ionosphere_data,adaboost-ionosphere_data,scm-ionosphere_data,random_forest-ionosphere_data,random_scm-ionosphere_data
Train,0.9887668387259222,0.9388644089135088,0.9941489361702128,0.9129610978219815,0.9715126526501322,0.9449515296487473
Train STD,0.0327251805031296,0.03252195606933015,0.017553191489361717,0.010530461364145675,0.01846399203039891,0.00860430352637325
Test,0.8484374999999998,0.8743303571428569,0.8794642857142858,0.8839285714285715,0.9040178571428571,0.908482142857143
Test STD,0.045158296728207724,0.0334531124146856,0.03669143170706598,0.027861578172553404,0.03851982742162583,0.032346823094172875
