,decision_tree-ionosphere_data,samba-ionosphere_data,scm-ionosphere_data,adaboost-ionosphere_data,random_scm-ionosphere_data,random_forest-ionosphere_data
Train,0.9901140684410645,0.9444866920152091,0.91787072243346,0.9958174904942965,0.9486692015209124,0.9794676806083652
Train STD,0.028412991166949682,0.023389439542554697,0.010230892811462899,0.01254752851711027,0.009805168789526711,0.013410792462774452
Test,0.865909090909091,0.8886363636363637,0.8897727272727274,0.9045454545454545,0.9193181818181818,0.9238636363636366
Test STD,0.04365766525522396,0.03246103831155842,0.027858296982116466,0.030151134457776337,0.030681818181818175,0.0313479868730312
