,decision_tree-Abalone_data,scm-Abalone_data,random_scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.9326309067688378,0.7618135376756068,0.7570242656449553,0.7787356321839082,0.859514687100894,0.8706896551724138
Test,0.7406698564593301,0.7626794258373206,0.7665071770334928,0.7827751196172249,0.8019138755980861,0.8076555023923445
