,decision_tree-Abalone_data,scm-Abalone_data,random_scm-Abalone_data,samba-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.9326409277745156,0.7618075944411822,0.7568041691133294,0.7787507339988256,0.8596129379526326,0.8707990800548053
Test,0.7406869496417634,0.7626390089522498,0.7662909700956763,0.7827540988410426,0.8019479568064938,0.807706114196129
