,samba-hepatitis_data,adaboost-hepatitis_data,random_forest-hepatitis_data,decision_tree-hepatitis_data,scm-hepatitis_data,random_scm-hepatitis_data
Train,0.3088942307692308,0.7451923076923077,0.8497596153846154,1.0,0.7830528846153846,0.7409855769230769
Test,0.39682539682539686,0.6031746031746031,0.6309523809523809,0.6349206349206349,0.6388888888888888,0.6587301587301587
