,samba-hepatitis_data,adaboost-hepatitis_data,decision_tree-hepatitis_data,random_forest-hepatitis_data,scm-hepatitis_data,random_scm-hepatitis_data
Train,0.29310344827586204,0.7586206896551724,1.0,0.8620689655172413,0.7844827586206896,0.75
Test,0.38461538461538464,0.6153846153846154,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6666666666666666
