,scm-cylinder_data,random_scm-cylinder_data,decision_tree-cylinder_data,samba-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.654320987654321,0.7185185185185186,1.0,1.0,0.9876543209876543,1.0
Test,0.5703703703703704,0.6518518518518519,0.7111111111111111,0.7703703703703704,0.8000000000000002,0.8222222222222222
