,scm-cylinder_data,random_scm-cylinder_data,decision_tree-cylinder_data,samba-cylinder_data,random_forest-cylinder_data,adaboost-cylinder_data
Train,0.6858974358974359,0.7028789923526766,1.0,1.0,0.9853801169590644,1.0
Test,0.5951417004048583,0.6373144399460189,0.7051282051282051,0.7351551956815114,0.7773279352226721,0.8060053981106612
